charter,Lender,assets,cert
13329,First National Bank in Cimarron,105601,4638
13347,"GNBank, National Association",748191,4673
13443,"VeraBank, National Association",2496001,3250
13478,First National Bank of Pana,194094,3720
13479,The Lincoln National Bank of Hodgenville,326284,2750
13516,Citizens National Bank of Texas,1196845,5574
13522,Citizens National Bank of Cheboygan,318492,5018
13541,The Liberty National Bank in Paris,310617,3384
13544,First Farmers & Merchants National Bank,190314,5186
13557,First National Bank in Ord,131191,5460
13579,The First National Bank in Tremont,120747,3749
13637,First National Bank of Eastern Arkansas,454652,3863
13650,Security National Bank,83232,3845
13675,First National Bank of Bosque County,123279,5564
13677,First National Bank and Trust Company of Ardmore,561815,4037
13678,The Brenham National Bank,380093,3113
13679,"BOKF, National Association",46955256,4214
13682,"First Neighbor Bank, National Association",474213,3747
13688,"Capital One, National Association",339215513,4297
13692,The Citizens National Bank of Park Rapids,268155,5223
13706,The First National Bank of Trinity,59055,5559
13731,"Classic Bank, National Association",415804,3126
13770,The Bank National Association,394235,4146
13778,"Extraco Banks, National Association",1541005,5551
13790,"Alerus Financial, National Association",2510412,3931
13802,The First National Bank of Dennison,231959,6574
13835,Millbury National Bank,99483,2616
13838,Midamerica National Bank,426415,3612
13847,The Citizens National Bank of Woodsfield,136537,6732
13854,The Santa Anna National Bank,51476,5520
13879,National Exchange Bank and Trust,2089096,10044
13934,First-Lockhart National Bank,294606,13599
13944,Greenville National Bank,491169,13703
13972,Minnstar Bank National Association,131301,13809
13975,First National Bank in Pinckneyville,102272,13813
13991,First National Bank in Fairfield,142494,13853
14005,First Texoma National Bank,187752,13905
14012,"Southtrust Bank, National Association",418733,13919
14035,The Granville National Bank,92735,13983
14062,County National Bank,791586,14073
14072,The First National Bank in Falfurrias,80834,14095
14109,National Bank of Commerce,947852,14266
14144,First National Bank in Howell,429946,14370
14149,Haskell National Bank,72215,14399
14150,First National Bank in Tigerton,24202,14400
14168,First National Bank in DeRidder,307952,14427
14184,First National Bank at Darlington,154128,14468
14206,Amarillo National Bank,5846865,14531
14209,The First National Bank at Paris,187557,14534
14217,First National Bank in Olney,346079,14567
14222,The First National Bank in Trinidad,210488,14584
14240,Newfield National Bank,695001,14646
14244,The First National Bank in Amboy,209685,14674
14252,First National Bank,1359584,14712
14255,The Citizens National Bank of Quitman,104539,14731
14268,The First National Bank in Carlyle,202099,14761
14273,Citizens National Bank at Brownwood,218240,14779
14294,First National Bank in New Bremen,308775,14836
14296,The First National Bank at St. James,29649,14853
14302,Stockmens National Bank in Cotulla,119262,14864
14315,The Security National Bank of Enid,340221,14966
14328,First National Bank,259158,15059
14330,Junction National Bank,71844,15078
14347,"CNB Bank & Trust, National Association",1338345,3775
14351,The Hondo National Bank,282070,15345
14369,Stillman Banccorp National Association,477452,9263
14370,First National Bank in Fredonia,92247,13798
14371,"Commercial Bank of Texas, National Association",790781,1209
14418,Peoples National Bank of Kewanee,376015,926
14435,Citizens National Bank of Albion,316109,15760
14436,First National Bank of Nokomis,155408,15763
14437,First National Bank of Steeleville,215967,1049
14447,Broadway National Bank,3953416,15797
14466,Farmers National Bank of Griggsville,99195,15928
14479,Buena Vista National Bank,216564,10844
14488,"Merchants Bank, National Association",1896341,8866
14492,Mason City National Bank,67349,16198
14510,"Bank of Hillsboro, National Association",391438,16276
14546,"FSNB, National Association",400200,16416
14564,"First Bankers Trust Company, National Association",918707,16501
14566,Forest Park National Bank and Trust Company,247059,15945
14578,Security First National Bank of Hugo,121328,432
14583,BMO Harris Bank National Association,145168865,16571
14592,First National Bank of Picayune,208331,16612
14617,National Bank of St. Anne,82169,16752
14619,First National Bank of Pulaski,919118,15572
14637,First National Bank of Chadron,128782,16859
14680,First National Bank of Scotia,492184,11501
14688,Albany Bank and Trust Company National Association,625489,17230
14695,City National Bank,65954900,17281
14740,First National Bank of America,2651213,17438
14757,The Fisher National Bank,134607,17513
14761,KeyBank National Association,154993507,17534
14769,First National Bank in Taylorville,195777,17572
14786,First National Bank,371475,17643
14788,The National Bank of Andrews,221405,17603
14807,City National Bank of West Virginia,5028608,17735
14821,First National Bank in Port Lavaca,338990,17811
14833,"First National Bank, Cortez",105615,17872
14838,Seacoast National Bank,7352580,131
14842,First National Bank of Fort Stockton,131640,17913
14882,First National Bank of Wauchula,76156,18136
14886,First National Bank,251640,18150
14898,Community National Bank & Trust of Texas,786089,18185
14905,First National Bank of Alvin,154706,18282
14911,Hawaii National Bank,657352,18296
14955,Zapata National Bank,85370,18454
14991,"Sunrise Banks, National Association",1155654,18561
14993,First National Bank of Brookfield,230884,18564
15000,The First National Bank of South Miami,807430,17093
15037,American Heritage National Bank,372426,8843
15058,Pikes Peak National Bank,91996,17782
15070,National Bank of New York City,229102,18734
15158,First National Bank of Gillette,559659,18880
15161,Neighborhood National Bank,225574,18885
15168,Kress National Bank,38725,18892
15171,First National Bank of Lake Jackson,264919,18895
15198,St. Martin National Bank,21793,18937
15257,Commercial National Bank of Texarkana,222467,19024
15284,First National Bank of Clarksdale,369590,19070
15292,Inwood National Bank,3032613,19080
15359,Hilltop National Bank,931209,19184
15379,Security National Bank of Omaha,863536,19213
15386,First American National Bank,282471,19226
15389,Community National Bank in Monmouth,48217,19230
15401,"Heritage Bank, National Association",402874,19254
15407,First National Bank and Trust Company of Weatherford,260922,19263
15417,Community National Bank,254476,19272
15435,American National Bank,4133219,19300
15482,"Relyance Bank, National Association",865751,19371
15543,Consumers National Bank,663244,19482
15550,First National Bank of Tennessee,890997,19502
15572,First National Bank of Griffin,291757,169
15576,Stearns Bank National Association,2214669,10988
15579,First National Bank of Muscatine,311345,961
15592,"Academy Bank, National Association",2163530,19600
15593,"Hometown Bank, National Association",639172,19603
15606,Fort Hood National Bank,307682,19640
15649,"Clare Bank, National Association",281017,1022
15651,Southeast First National Bank,51306,19819
15698,Hiawatha National Bank,253681,13058
15733,The Pennsville National Bank,203465,19978
15738,Tri City National Bank,1462655,18922
15748,Eastern National Bank,338225,20026
15790,Valley National Bank,39109234,9396
15820,"American Bank, National Association",1595206,20241
15974,Executive National Bank,489130,20711
15977,City National Bank of Florida,16241158,20234
15980,"Dallas Capital Bank, National Association",922548,20727
16076,Citizens National Bank,1111026,20954
16226,The National Bank of Texas at Fort Worth,303463,21329
16320,American Bank National Association,101932,21567
16405,"Quail Creek Bank, National Association",707917,21848
16417,"Bessemer Trust Company, National Association",2550960,21868
16473,First National Bank USA,136073,22046
16487,First National Community Bank,277621,22092
16553,Commonwealth National Bank,47609,22229
16579,First National Bank,300206,22271
16617,American National Bank & Trust,902827,22373
16625,Anahuac National Bank,209847,22381
16626,Central National Bank,962471,22396
16629,"Modern Bank, National Association",798440,22398
16643,"BankChampaign, National Association",241062,22434
16708,Town-Country National Bank,110454,22621
16799,The American National Bank of Mount Pleasant,108641,22942
16804,"Amerant Bank, National Association",8092661,22953
16840,"New Omni Bank, National Association",488155,23086
16857,Huron National Bank,62251,23126
16892,Woodforest National Bank,6945211,23220
16976,"Bank of Brookfield-Purdin, National Association",88987,9385
17000,Evergreen National Bank,116655,23404
17001,First National Bank of Burleson,197352,23430
17002,Community National Bank,217520,23431
17043,The American National Bank of Texas,3584050,23474
17106,Lamar National Bank,195156,23597
17174,"Vast Bank, National Association",681210,23737
17176,Mission National Bank,230943,23749
17202,"Wellington Trust Company, National Association",81333,23741
17269,Mccurtain County National Bank,272748,23798
17319,"American Bank, National Association",455115,23886
17383,Brazos National Bank,39639,24038
17456,Citizens National Bank,85951,24085
17525,Capitol National Bank,126151,24199
17548,"Bank of Whittier, National Association",74761,24211
17606,Llano National Bank,188923,24305
17611,Lone Star National Bank,2362560,24347
17652,City National Bank,53696,24367
17694,First Community National Bank,130126,1639
17735,Progressive National Bank,81971,24443
17828,Crockett National Bank,672339,24561
17862,"First Commercial Bank, National Association",382485,24603
17926,"Triad Bank, National Association",165808,24677
17967,Panola National Bank,114441,24763
18045,State Street Bank and Trust Company National Association,36930,24938
18054,Community National Bank,1419682,24897
18063,First National Bank of South Padre Island,57945,24902
18154,Summit National Bank,85943,25054
18162,First National Bank of Benton,63847,25065
18214,First National Bank Northwest Florida,177052,25122
18233,Community National Bank of Okarche,116936,25161
18242,"C3bank, National Association",423443,25249
18278,First National Bankers Bank,875600,25247
18283,"Intercredit Bank, National Association",367518,25258
18358,"Beacon Business Bank, National Association",142770,25644
18394,Community National Bank,496958,25665
18410,"Citicorp Trust Delaware, National Association",23516,25677
18430,First National Bank and Trust Company,238625,25738
18431,"Eastbank, National Association",171267,25749
18558,"Golden Bank, National Association",1071625,26223
18594,Texas National Bank of Jacksonville,571361,26181
18607,"State Street Bank and Trust Company of California, National Association",16369,26474
18608,Deutsche Bank National Trust Company,290483,26732
18609,First National Bank,229599,26219
18613,American National Bank,322638,26398
18763,Home State Bank / National Association,627768,12815
18783,The First Citizens National Bank of Upper Sandusky,288577,14355
20010,Pacific National Bank,661387,26299
20026,First National Bank of Dublin,95318,26228
20078,First National Bank,581455,26543
20157,Terrabank National Association,479123,26442
20184,"Citizens National Bank, National Association",1102378,26381
20214,"Florida Capital Bank, National Association",522252,26323
20291,"Credit One Bank, National Association",687640,25620
20415,Bank of Desoto National Association,192655,26542
20448,Center National Bank,187253,10976
20493,Pike National Bank,258009,26379
20547,Delta National Bank and Trust Company,387506,26633
20622,"KEB Hana Bank USA, National Association",237227,26790
20838,The First National Bank in Marlow,58429,26260
20862,"Golden Pacific Bank, National Association",141969,26881
20948,Safra National Bank of New York,9244958,26876
20976,First National Bank of Pasco,191567,26829
21008,Unity National Bank of Houston,107905,26351
21060,"Pioneer Trust Bank, National Association",540949,19827
21099,Wells Fargo National Bank West,25855421,27389
21158,"Native American Bank, National Association",139981,27026
21165,The First National Bank of Izard County,170912,11252
21389,Community National Bank & Trust,1358386,27046
21527,"Comerica Bank & Trust, National Association",60385,1596
21530,Saratoga National Bank and Trust Company,687407,27290
21541,"MUFG Union Bank, National Association",135037826,22826
21699,"Community West Bank, National Association",925040,27572
21793,First National Bank,324977,25894
21882,"First Financial Trust, National Association",10299,27479
22121,"Blackrock Institutional Trust Company, National Association",4228482,32961
22210,Ledyard National Bank,566630,33418
22241,The University National Bank of Lawrence,79845,32606
22281,"The Trust Company of Toledo, National Association",4762,33239
22286,"American Bank, National Association",361479,5800
22311,"South State Bank, National Association",18590797,33555
22327,First National Bank of Coffee County,245213,33506
22351,First Farmers & Merchants National Bank,110275,33131
22545,"Patriot Bank, National Association",999750,33928
22553,American National Bank - Fox Cities,314527,33812
22594,Credit First National Association,29756,33855
22611,"TD Bank USA, National Association",27041547,33947
22652,The National Bank of Indianapolis,2256064,33860
22770,Neighborhood National Bank,72302,34548
22807,Texas National Bank,153654,34014
22859,"Wilmington Trust, National Association",5481716,34069
22874,"UMB Bank & Trust, National Association",3037,34065
22883,Thomasville National Bank,1002299,34068
22905,Quantum National Bank,513214,34110
22926,"The Private Trust Company, National Association",22004,34057
22949,"The First, A National Banking Association",4053820,34217
22968,"City First Bank of D.C., National Association",360345,34352
23006,Asian Pacific National Bank,55094,33013
23038,Landmark National Bank,985910,5826
23049,Great Plains National Bank,830077,34207
23081,Southwestern National Bank,616339,34319
23097,DSRM National Bank,3943,34331
23148,"Computershare Trust Company, National Association",30059,34629
23158,Chester National Bank,60522,30220
23182,First National Bank,73577,34455
23183,"Keystone Bank, National Association",222777,34456
23201,"Wells Fargo Delaware Trust Company, National Association",233739,34465
23202,The Malvern National Bank,582042,14644
23216,"Barrington Bank & Trust Company, National Association",2803265,34395
23226,Security National Bank of South Dakota,222997,34394
23248,"Texas Capital Bank, National Association",35847732,34383
23250,"Associated Trust Company, National Association",62624,27102
23253,TCF National Bank,48562805,28330
23290,"Bremer Bank, National Association",13210697,12923
23323,Cedar Hill National Bank,13138,34478
23329,Edison National Bank,356820,34489
23363,"TCM Bank, National Association",302886,34535
23393,"First Robinson Savings Bank, National Association",344197,28105
23412,"U.S. Bank Trust Company, National Association",19378,34588
23416,"RBC Bank (Georgia), National Association",4356173,26342
23421,"New Covenant Trust Company, National Association",6866,34732
23457,Stearns Bank Holdingford National Association,98766,10160
23458,Stearns Bank Upsala National Association,76181,9336
23516,Liberty National Bank,633327,11522
23521,American First National Bank,1944494,34656
23523,"Natbank, National Association",181508,33959
23547,North Georgia National Bank,132632,34662
23574,"Crystal Lake Bank & Trust Company, National Association",1231350,34681
23604,U.S. Bank Trust National Association SD,106626,34813
23616,Virginia National Bank,717380,34755
23645,Nebraskaland National Bank,751228,34811
23664,"Connecticut Community Bank, National Association",465914,34876
23681,"FirstCapital Bank of Texas, National Association",1729186,35028
23690,"The Chicago Trust Company, National Association",112507,35063
